,general_esg_interest,esg_investment,renewable_energy,climate_topics,vix,gp
2020-01-27,-0.2839920188029694,-0.09575477276222455,0.05292157310515148,-0.07941411557118443,0.29395601714439135,-0.0038698745201688235
2020-02-03,0.19945385378100244,0.13509109039627598,0.02296450411776041,0.08377147609363544,-0.17887472708412766,0.0034836728691327278
2020-02-10,-0.1438410362258904,-0.04768679923011343,0.036917121430901055,0.016881244272918334,-0.11570781712706568,-0.0006174004178023489
2020-02-17,-0.05561281755511205,-0.10605880269753887,-0.03285698191194397,-0.07852202377092254,0.24853797826626467,0.0022459018640789124
2020-02-24,0.3610673587165987,0.15725740585904213,0.036505505473549395,0.02668090255784546,1.3483607019623691,-0.02740561953884149
2020-03-02,-0.9406858139588711,-0.19902092702483376,-0.058976902719692546,-0.06205837536998134,0.045624482386199094,0.00758814512391684
2020-03-09,0.24275390789085044,-0.036631083023048516,-0.07351425653805066,-0.023319529535636836,0.37887467154627763,-0.07124866441913749
2020-03-16,-0.13118213223374542,-0.8829709555386117,-0.3126382565865932,-0.32901993425412074,0.14196781643648304,0.07203755711540707
2020-03-23,0.34657359027997264,-0.016784825709407092,0.11868645663217281,0.08745475482249702,-0.007571168883531043,-0.014513941291231125
2020-03-30,-0.09618594632372801,0.6416376597071277,0.08626090762947729,0.04209790844143072,-0.28593227672700605,-0.0020714706114338885
2020-04-06,-0.5493061443340549,0.06344513019402498,-0.025436737101716716,0.0,-0.10961540922532387,0.015126385253504876
2020-04-13,0.6328331866656379,0.11952662202494391,0.07793450420969927,0.06791587365554341,-0.08447316529256998,-0.01007755144460843
2020-04-20,-0.20273255405408225,0.121582630633291,0.19794150403028862,0.1948461737265342,-0.058191379604459414,-0.0013346875984370406
2020-04-27,0.16271120021731406,-0.05165415493263992,0.018108606556135626,-0.07811203058216276,0.03506814113084489,0.02082490019773994
2020-05-04,0.0,0.11397617621655842,-0.02319776393306509,0.014817254190278165,-0.24764720152095543,-0.01337224197812836
2020-05-11,0.07707533991362903,-0.10636591984124955,-0.06919535281781242,-0.07645803368828215,0.13974267017088016,0.0005117572420829976
2020-05-18,-0.20273255405408225,-0.17506263477022566,-0.062238329702843785,-0.07732382181259163,-0.11696455357873392,0.010698890592416854
2020-05-25,0.1656785679772214,0.14393242192264177,-0.19509386052030267,-0.27113210290384077,-0.02308237294220039,0.00023792562979404325
2020-06-01,-0.47775572251371823,-0.03364472652830497,0.0071216074992324074,-0.022997623828983738,-0.10868774068489695,0.01822639085254181
2020-06-08,0.4091551617569757,0.09243433256555622,0.008032517193020153,-0.0513835599424195,0.4718596851070145,-0.013501601129944037
2020-06-15,0.34657359027997264,0.0180238555042036,-0.07971463088688369,-0.18232155679395468,-0.026877285026377873,0.022998941587409664
2020-06-22,0.1928312404059922,0.22519663633454756,-0.02069080954745924,0.06077385226465156,-0.01110476655779069,-0.006453322656245961
2020-06-29,-0.3669845875401001,-1.0590145127799464,-0.0861331555441313,-0.07438118377140317,-0.2029945099333158,-0.004839948341465991
2020-07-06,0.08592512846332956,1.102957721229697,0.13136123753933923,0.1257647437138226,-0.014089573170109837,2.9722532944510827e-05
2020-07-13,0.11680742559075252,-0.04054164757265055,0.12864017067839795,-0.025729879563709906,-0.058995989605684196,0.006427032099422001
2020-07-20,0.07707533991362925,0.04361680209471008,-0.07700894497428153,0.025729879563709906,0.006230523579077385,0.003442225968139407
2020-07-27,-0.050041729278491376,-0.12223108995322252,-0.00927826633114807,-0.06499089144917103,-0.053405613775781124,-0.00657807193541661
2020-08-03,-0.19945385378100244,0.06412679292833778,0.03079110671033843,0.0,-0.09198692085922078,0.0075048406679528515
2020-08-10,0.1438410362258904,-0.11968432730362266,-0.053021564876562476,0.0,-0.007203955605922019,0.003745674518386286
2020-08-17,-0.03818648939228697,0.10443543753831586,0.1453313251017354,0.177148303656242,0.022222299112066413,0.00013577569186345832
2020-08-24,-0.10565454683360342,-0.17430566781807189,-0.05964962410510507,0.018523283718270278,0.018633458380029833,0.0026785496726739674
2020-08-31,0.1438410362258904,0.1405119732260086,0.08315361987719427,0.1852491037191675,0.3392857676895793,-0.018770628944695847
2020-09-07,-0.03031231090821751,-0.1608307283456597,-0.015053465372950972,0.33676376191401425,-0.12617883449647482,0.01991807761384355
2020-09-14,0.058891517828191686,0.22409965255797104,0.1686242222123807,0.14154500807196135,-0.03870490818924055,0.00371339217570092
2020-09-21,0.05268025782891317,-0.9669617947023649,0.0294448553559666,-0.12579404645511313,0.02129304059949977,-0.014517113404324291
2020-09-28,-0.025646647193775296,0.7518297556262881,0.033144632329395574,-0.010417514501368075,0.047384383615108217,0.017697599571785197
2020-10-05,0.11157177565710485,0.10450006922773525,0.08170748601099491,-0.09624694460000753,-0.09518636412052761,-0.0019897898163483765
2020-10-12,-0.11157177565710485,-1.04814361303244,-0.11138536013446076,-0.1203070782733946,0.09639999389648435,0.008608660542676868
2020-10-19,0.2283792012478575,0.2147425904000333,0.1033999705158628,0.07820916983196387,0.005107602715351822,-0.009565243097900248
2020-10-26,-0.2283792012478575,-0.09560233295205967,-0.04346437836581085,-0.050283613941567516,0.38003635247360634,-0.0019208556181672942
2020-11-02,-0.1181943890321151,-0.18159320704706639,-0.12565828045370164,-0.18237187505706384,-0.34613360570659435,0.008329149285668358
2020-11-09,0.20273255405408208,1.2231805780918275,0.16229079424783244,0.15545795373171897,-0.07079646764565972,-0.00649940422645039
2020-11-16,0.12256122901649258,0.14752141476488811,0.030758425369723657,0.03314463232939572,0.02597404205893583,0.01491123311354944
2020-11-23,-0.2930245225017891,-0.47138104768112454,-0.327957798464318,-0.23797931674300643,-0.12067512735374464,0.00021285966172124304
2020-11-30,-0.03226926056878554,-0.6471462698157106,0.21973155176285855,0.2540466840156323,-0.0023991956187360275,-0.0010515996550753606
2020-12-07,0.27980789396771133,0.8551538668798143,0.052443848810624694,0.0077522873880890115,0.121212046149211,-0.0007353152936812879
2020-12-14,0.0,-0.971617565659296,-0.07787161706050154,-0.0920844588760527,-0.07464606653725714,0.006409423207863299
2020-12-21,-1.0074515102711326,-0.7423017751242461,-0.3343395784613266,-0.43723516804293955,-0.0018543814902467481,0.0032148846523552465
2020-12-28,0.03449643574347583,1.0668271873953534,-0.023496508877003535,-0.017097764795850196,0.05666508473969656,-0.006788085481430305
2021-01-04,0.16823611831060648,0.8214507615310801,0.5830267659178091,0.12925517700292125,-0.052307715782752395,0.005910475461835738
2021-01-11,1.339531332114479,0.18744961820712258,0.04051327078512864,0.08377147609363529,0.1289425211274695,0.004214214206307576
2021-01-18,-0.3564749039280628,-0.04431982001429002,0.06975241879211724,0.13399561457728001,-0.09983567337477672,3.370977223985869e-05
2021-01-25,0.03848052056806428,0.0321908139438879,0.22109807247008803,0.17143462938077195,0.5102693009145001,0.0005994439741616384
2021-02-01,-0.018870163991423494,-0.017292430068976183,-0.14688451924450222,-0.014186538139598692,-0.3692958373225874,0.0017325039499380135
2021-02-08,-0.019610356576640786,0.01671339101451852,-0.027531528677013768,0.13515503603605472,-0.04312417296059701,0.001708063887972176
2021-02-15,-0.041690804469525444,-0.1084829498264206,0.24256827993126828,0.5283289388566453,0.10415623411239183,0.007256558680182369
2021-02-22,-0.029859617350811107,-0.6466703072922266,-0.24444320117285656,-0.5920140177775483,0.26757377460414955,-0.008737079331513617
2021-03-01,0.5569398803994491,0.6621235364319031,-0.19303571039413234,-0.1761750669551306,-0.11771022632277528,-0.037243397147104305
2021-03-08,-0.4287251159256109,-0.016800442338394395,-0.07304400017037811,-0.04451046420817425,-0.16098942976153807,0.030817332703063208
2021-03-15,0.12565721414045306,-0.2525906681524802,-0.12181992449815511,-0.03336115285232758,0.01256646796378047,0.001931658280488485
2021-03-22,0.05889151782819191,-0.9229835560272234,-0.02210754764369079,-0.12649654056830129,-0.0997613401659202,-0.008558304973010777
2021-03-29,0.19652129405480356,1.1196518656699155,-0.01612306671854598,0.07511298062588186,-0.0811241058924328,0.009273329931342623
2021-04-05,-0.12565721414045306,-0.14328609704131223,0.07003194530724481,0.02532863565930743,-0.03693014382377291,0.0001711911756378734
2021-04-12,-0.09402611575146991,0.24605912303463628,0.015930221278782703,0.066150312907946,-0.02636312282673403,0.007293119665239817
